hsa-mir-10b,hsa-mir-21,hsa-mir-30a,hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-141,hsa-mir-145,hsa-mir-200a,hsa-mir-200b,hsa-mir-155,hsa-mir-191,hsa-mir-203a,hsa-mir-203b,hsa-mir-210,hsa-mir-373,label
423804,179434,345683,13055,11971,4426,4579,4039,24293,824,1287,684,2245,11579,76,137,0,normal
295590,55323,191471,8481,7910,2554,2687,983,13219,472,441,203,1285,4132,12,71,0,normal
624990,201601,320641,11891,10820,3496,3619,1472,11740,900,998,376,963,9329,60,66,1,normal
1192247,235173,375700,15535,14722,5737,6228,1463,13678,1168,721,636,1373,10037,70,84,0,normal
391130,35298,76307,8418,7801,5097,5194,47,40246,37,34,213,2043,88,0,437,0,normal
716322,289220,315053,10284,9492,2105,2286,1959,8858,1232,1031,247,857,7313,48,346,0,normal
402690,52216,150829,11552,10394,2829,2829,773,12745,419,395,132,1194,4132,38,181,0,normal
899224,223062,370709,14804,13313,5259,5587,2784,20577,1266,981,374,1796,7617,58,311,0,normal
469079,68510,113213,5131,4878,1884,1909,265,14856,129,141,315,723,2357,34,102,0,normal
959322,226925,375425,10694,10186,3129,3450,1591,30904,571,462,1657,2109,3494,37,123,0,normal
753256,104473,150997,13035,11805,2214,2434,305,6391,238,288,185,512,2339,13,14,0,normal
2829185,616019,1569030,93695,83137,24391,25648,16063,101813,5316,8480,1862,9271,45017,308,1455,2,normal
580244,60067,531046,14153,13508,934,1043,37,2854,26,24,159,594,162,2,185,0,normal
407542,87050,113548,4855,4567,1504,1632,472,9489,192,197,293,827,1307,16,54,0,normal
725214,154156,274223,13040,12028,3726,3954,1033,26843,594,649,318,1224,4124,27,220,1,normal
641947,348863,367334,14195,13119,2360,2579,2247,7668,1574,1163,335,1417,9952,115,336,0,normal
643338,211322,258383,8272,7684,1624,1810,1021,5816,560,572,203,424,5193,34,213,0,normal
778122,30809,141719,11346,10204,1430,1491,11,16516,6,9,127,823,137,1,322,0,normal
1980127,555243,910584,47373,43639,14202,15012,4074,56989,1586,2253,2405,3213,12931,58,98,0,normal
935537,187073,381589,13744,12713,3316,3438,1841,11311,1377,1454,399,1759,13037,74,601,0,normal
765003,99337,264649,19846,18227,10637,10893,1579,34766,901,1097,573,2353,7729,38,243,0,normal
686227,111229,218911,11660,10650,2542,2640,936,11879,463,371,324,756,3609,28,55,0,normal
285140,73488,168059,84698,75482,7799,8270,556,20944,704,940,264,1071,2792,9,102,0,normal
1441919,135601,345728,16832,15189,9573,9723,1472,30533,798,952,540,1771,7904,55,211,0,normal
613634,49439,103817,16509,15349,1587,1617,6,12013,7,8,134,1153,141,0,513,1,normal
588313,58430,118708,12712,11643,3887,3969,250,14814,310,526,214,658,2436,12,64,0,normal
1217673,142824,429971,23620,20742,4839,5163,2310,19057,1013,1013,548,1439,6447,45,201,1,normal
1580856,114324,372702,22819,21546,5465,5844,51,81677,25,20,574,4193,208,1,1380,0,normal
592034,74379,203179,10414,9555,2051,2154,712,6679,402,422,223,417,4118,18,33,0,normal
452725,108187,103518,11360,10601,1433,1530,15,16161,16,10,294,1391,191,1,428,1,normal
1042924,721838,453658,11358,10567,2530,2839,1624,9107,889,848,667,886,7523,85,106,0,normal
967334,169204,535367,11499,10706,4134,4193,2251,10603,2040,930,966,2136,9424,38,111,0,normal
581374,109942,117467,8991,8126,2344,2262,211,5023,195,223,311,331,1778,6,22,0,normal
486974,202267,605733,13400,12692,2154,2333,5059,19342,1751,2341,442,1851,9816,72,455,0,normal
2786901,852618,727384,35603,33907,16371,16906,3060,120343,1393,2154,4810,6538,13390,89,727,4,normal
2482523,420693,1067394,28240,26393,9840,10216,7572,32513,3164,4367,2075,4485,14452,138,425,0,normal
968919,257146,355081,13691,12583,5053,5296,1211,19829,646,578,546,1084,5859,51,163,4,normal
430905,231715,306490,5946,5487,1110,1301,2159,3699,1355,1088,164,773,8767,94,429,0,normal
1017855,174694,239875,12715,12243,1268,1418,471,6141,293,253,289,270,1882,18,37,0,normal
481226,56641,161746,7515,7000,1444,1522,34,22388,10,11,245,1889,343,3,167,0,normal
1093122,239208,322256,12705,11736,4801,5144,2020,13882,912,828,433,1878,6956,39,181,0,normal
261777,66725,189015,12347,10628,2019,2121,1551,10774,900,675,202,1048,6436,55,236,0,normal
547552,163940,253062,8820,8043,2042,2202,743,10439,499,601,256,642,4995,34,258,0,normal
572949,96080,254695,10019,9056,3406,3495,1078,11586,690,615,445,1074,4379,30,46,0,normal
67852,298157,67924,6300,5643,513,559,3584,1754,2109,1358,1152,1687,396,3,752,0,normal
268425,54740,84864,7273,6516,1414,1463,322,7085,220,264,141,356,1632,10,50,0,normal
522214,42908,97840,5865,5437,3080,3166,223,11624,201,203,140,435,2185,14,145,0,normal
956147,108380,240362,7953,7607,2037,2265,571,10678,352,463,393,665,3352,21,120,0,normal
