hsa-mir-10b,hsa-mir-21,hsa-mir-145,hsa-mir-125b-1,hsa-mir-125b-2,hsa-mir-155,label
423804,179434,24293,4426,4579,684,normal
295590,55323,13219,2554,2687,203,normal
624990,201601,11740,3496,3619,376,normal
1192247,235173,13678,5737,6228,636,normal
391130,35298,40246,5097,5194,213,normal
716322,289220,8858,2105,2286,247,normal
402690,52216,12745,2829,2829,132,normal
899224,223062,20577,5259,5587,374,normal
469079,68510,14856,1884,1909,315,normal
959322,226925,30904,3129,3450,1657,normal
753256,104473,6391,2214,2434,185,normal
2829185,616019,101813,24391,25648,1862,normal
580244,60067,2854,934,1043,159,normal
407542,87050,9489,1504,1632,293,normal
725214,154156,26843,3726,3954,318,normal
641947,348863,7668,2360,2579,335,normal
643338,211322,5816,1624,1810,203,normal
778122,30809,16516,1430,1491,127,normal
1980127,555243,56989,14202,15012,2405,normal
935537,187073,11311,3316,3438,399,normal
765003,99337,34766,10637,10893,573,normal
686227,111229,11879,2542,2640,324,normal
285140,73488,20944,7799,8270,264,normal
1441919,135601,30533,9573,9723,540,normal
613634,49439,12013,1587,1617,134,normal
588313,58430,14814,3887,3969,214,normal
1217673,142824,19057,4839,5163,548,normal
1580856,114324,81677,5465,5844,574,normal
592034,74379,6679,2051,2154,223,normal
452725,108187,16161,1433,1530,294,normal
1042924,721838,9107,2530,2839,667,normal
967334,169204,10603,4134,4193,966,normal
581374,109942,5023,2344,2262,311,normal
486974,202267,19342,2154,2333,442,normal
2786901,852618,120343,16371,16906,4810,normal
2482523,420693,32513,9840,10216,2075,normal
968919,257146,19829,5053,5296,546,normal
430905,231715,3699,1110,1301,164,normal
1017855,174694,6141,1268,1418,289,normal
481226,56641,22388,1444,1522,245,normal
1093122,239208,13882,4801,5144,433,normal
261777,66725,10774,2019,2121,202,normal
547552,163940,10439,2042,2202,256,normal
572949,96080,11586,3406,3495,445,normal
67852,298157,1754,513,559,1152,normal
268425,54740,7085,1414,1463,141,normal
522214,42908,11624,3080,3166,140,normal
956147,108380,10678,2037,2265,393,normal
717436,273809,15829,4455,4620,371,normal
702883,298421,9068,2848,2963,578,normal
1339989,89391,61525,5995,6297,478,normal
980325,259254,19339,7026,7334,622,normal
504438,148850,9769,1365,1490,222,normal
786050,106437,44555,12622,12866,1018,normal
1203263,148599,27889,3678,3871,748,normal
570803,140262,14835,5405,5540,297,normal
731665,233133,19055,3693,3984,399,normal
964351,129256,10796,2827,3075,246,normal
929580,193021,14939,3997,4332,371,normal
953132,109948,29417,4151,4440,398,normal
669184,106264,24866,3102,3206,422,normal
1939577,196320,48264,9947,10256,736,normal
731437,71708,20335,2807,2885,394,normal
490921,52408,41274,1449,1532,166,normal
537645,52151,18316,2481,2602,275,normal
682565,265771,17825,3661,3898,558,normal
781710,139414,38056,3775,3903,597,normal
856783,29945,58345,6780,6949,304,normal
491342,277437,11912,2470,2625,826,normal
655427,32793,41707,3214,3364,238,normal
739203,241976,8597,2493,2674,406,normal
915249,203172,23712,3986,4222,403,normal
960677,338889,18674,3659,3880,1717,normal
1183386,153534,49853,3396,3539,508,normal
508056,78813,10004,1176,1197,141,normal
1643622,212763,71178,6180,6369,656,normal
290840,162590,3647,439,545,363,normal
185971,79361,2532,5604,5751,77,normal
1073638,518000,21513,4934,5089,1192,normal
1178215,237402,9545,3277,3357,358,normal
687215,57691,16929,2089,2183,117,normal
874604,392056,65560,13264,13549,885,normal
602780,117798,13320,3763,4003,405,normal
1610073,89549,22816,3479,3729,231,normal
461376,362256,7881,2294,2620,2086,normal
967126,100626,33504,3173,3359,256,normal
558764,190524,15475,2104,2168,580,normal
1051777,597543,33707,11992,13158,851,normal
751374,45832,9645,1226,1322,131,normal
657754,167632,9572,1803,2029,175,normal
