hsa-mir-21,hsa-mir-10b,hsa-mir-139,hsa-mir-429,hsa-mir-200a,hsa-mir-1247,hsa-mir-200c,hsa-mir-200b,hsa-mir-204,hsa-mir-145,hsa-mir-141,hsa-mir-671,hsa-mir-4677,hsa-mir-182,hsa-mir-6892,hsa-mir-483,hsa-mir-1307,hsa-mir-98,hsa-mir-769,hsa-mir-3613,hsa-mir-191,hsa-mir-148b,hsa-mir-340,hsa-let-7c,hsa-mir-1468,hsa-mir-181c,hsa-mir-125b-1,hsa-mir-96,hsa-mir-125b-2,hsa-mir-192,hsa-mir-493,hsa-mir-100,hsa-mir-342,hsa-mir-99a,hsa-mir-452,hsa-mir-331,hsa-mir-301a,hsa-mir-335,hsa-mir-32,hsa-mir-7-1,hsa-mir-365b,hsa-mir-365a,hsa-mir-143,hsa-mir-615,hsa-mir-3127,hsa-mir-190b,hsa-mir-195,hsa-mir-3677,hsa-mir-155,hsa-mir-196a-2,hsa-mir-196a-1,hsa-mir-330,hsa-mir-4326,hsa-mir-140,hsa-mir-377,hsa-mir-149,hsa-mir-891a,hsa-mir-495,hsa-mir-503,hsa-mir-103a-1,hsa-mir-103a-2,hsa-mir-5683,hsa-mir-19a,hsa-mir-183,hsa-mir-99b,hsa-mir-379,hsa-mir-337,hsa-let-7e,hsa-mir-151a,hsa-mir-454,hsa-mir-3074,hsa-mir-590,hsa-mir-126,hsa-mir-210,hsa-mir-33a,hsa-mir-205,hsa-mir-629,hsa-mir-193a,hsa-mir-93,hsa-mir-181d,hsa-mir-376c,hsa-mir-181b-1,hsa-mir-758,hsa-mir-551b,hsa-mir-320b-2,hsa-mir-3200,hsa-mir-142,hsa-mir-497,hsa-mir-432,hsa-mir-511,hsa-mir-940,hsa-mir-328,hsa-mir-181b-2,hsa-mir-423,hsa-mir-766,hsa-mir-28,hsa-mir-92b,hsa-mir-744,hsa-mir-326,hsa-mir-134,hsa-mir-501,hsa-mir-3614,hsa-mir-22,hsa-mir-675,hsa-mir-431,hsa-mir-887,hsa-mir-345,hsa-mir-4668,hsa-mir-6510,hsa-mir-130b,hsa-mir-370,hsa-mir-381,hsa-mir-767,hsa-mir-338,hsa-mir-1271,hsa-mir-135b,hsa-mir-1301,hsa-mir-500a,hsa-mir-17,hsa-mir-296,hsa-mir-628,hsa-mir-485,hsa-mir-187,hsa-mir-27a,hsa-mir-455,hsa-mir-655,hsa-mir-708,hsa-mir-4661,hsa-mir-378c,hsa-mir-574,hsa-mir-215,hsa-mir-33b,hsa-mir-218-1,hsa-mir-181a-1,hsa-mir-106b,hsa-mir-20a,hsa-mir-218-2,hsa-mir-320b-1,hsa-mir-376b,hsa-mir-369,hsa-mir-491,hsa-mir-29a,hsa-mir-411,hsa-mir-34a,hsa-mir-30e,hsa-mir-154,hsa-mir-539,hsa-mir-1266,hsa-mir-15a,hsa-mir-323a,hsa-mir-148a,hsa-mir-374b,hsa-let-7g,hsa-mir-29b-1,hsa-mir-487b,hsa-mir-654,hsa-mir-19b-1,hsa-mir-105-1,hsa-mir-105-2,hsa-mir-184,hsa-mir-214,hsa-mir-660,hsa-mir-130a,hsa-mir-299,hsa-mir-26a-1,hsa-mir-26a-2,hsa-mir-181a-2,hsa-mir-146a,hsa-mir-9-2,hsa-mir-584,hsa-mir-9-3,hsa-mir-1258,hsa-mir-3653,hsa-mir-9-1,hsa-mir-500b,hsa-mir-29b-2,hsa-mir-412,hsa-mir-382,hsa-mir-616,hsa-mir-496,hsa-mir-3607,hsa-mir-19b-2,hsa-mir-582,hsa-mir-324,hsa-mir-3065,hsa-let-7i,hsa-mir-128-2,hsa-mir-107,hsa-mir-203b,hsa-mir-128-1,hsa-mir-425,hsa-mir-1296,hsa-mir-127,hsa-mir-146b,hsa-mir-889,hsa-mir-193b,hsa-mir-542,hsa-mir-625,hsa-mir-339,hsa-mir-223,hsa-let-7d,hsa-mir-125a,hsa-mir-374a,hsa-mir-217,hsa-mir-409,hsa-mir-378a,hsa-mir-4728,hsa-mir-664b,hsa-mir-450b,hsa-mir-224,hsa-mir-410,hsa-let-7b,hsa-mir-15b,hsa-mir-1180,hsa-mir-106a,hsa-mir-375,hsa-mir-1306,hsa-mir-203a,hsa-mir-18a,hsa-mir-3615,hsa-mir-197,hsa-let-7f-2,hsa-mir-194-2,hsa-let-7f-1,hsa-mir-152,hsa-mir-190a,hsa-mir-1245a,hsa-mir-589,hsa-mir-1269b,hsa-mir-4772,hsa-mir-508,hsa-mir-451a,hsa-mir-484,hsa-mir-199a-1,hsa-mir-944,hsa-mir-144,hsa-mir-486-2,hsa-mir-194-1,hsa-mir-486-1,hsa-mir-199a-2,hsa-mir-1269a,hsa-mir-502,hsa-let-7a-2,hsa-mir-449a,hsa-mir-30c-1,hsa-mir-361,hsa-mir-132,hsa-mir-362,hsa-mir-4662a,hsa-mir-664a,hsa-mir-532,hsa-mir-30d,hsa-mir-577,hsa-mir-186,hsa-mir-135a-2,hsa-mir-34c,hsa-mir-199b,hsa-mir-153-2,hsa-mir-101-1,hsa-mir-101-2,hsa-mir-23a,hsa-mir-934,hsa-mir-874,hsa-mir-29c,hsa-mir-31,hsa-mir-135a-1,hsa-mir-3605,hsa-mir-20b,hsa-mir-935,hsa-mir-30a,hsa-mir-136,hsa-mir-27b,hsa-mir-133a-2,hsa-mir-133a-1,hsa-let-7a-1,hsa-let-7a-3,hsa-mir-576,hsa-mir-1-2,hsa-mir-1-1,hsa-mir-133b,hsa-mir-185,hsa-mir-206,hsa-mir-652,hsa-mir-30b,hsa-mir-92a-2,hsa-mir-30c-2,hsa-mir-2355,hsa-mir-450a-1,hsa-mir-92a-1,hsa-mir-450a-2,hsa-mir-23b,hsa-mir-942,hsa-mir-26b,hsa-mir-95,hsa-mir-363,hsa-mir-1287,hsa-mir-222,hsa-mir-16-1,hsa-mir-221,hsa-mir-212,hsa-mir-10a,hsa-mir-424,hsa-mir-320a,hsa-mir-505,hsa-mir-642a,hsa-mir-16-2,hsa-mir-25,hsa-mir-653,hsa-mir-24-2,hsa-mir-150,hsa-mir-196b,hsa-mir-24-1,hsa-mir-323b,hsa-mir-1976,hsa-mir-598,label
179434,423804,386,181,824,78,17592,1287,131,24293,4039,8,13,30069,13,9,373,109,29,18,2245,343,75,46100,41,227,4426,31,4579,1131,17,45510,804,15844,123,43,11,412,68,83,452,454,447020,6,6,5,617,4,684,142,125,42,0,2780,24,278,0,57,29,22116,21939,49,68,6113,52245,4215,221,3976,3769,19,6,38,12234,137,59,80462,224,1155,4808,35,64,191,81,7,6,8,3535,288,25,34,1,158,149,295,10,15245,50,92,42,1662,49,1,78159,48,25,12,85,6,63,41,23,157,0,445,10,47,3,436,1929,25,117,8,24,6623,432,12,167,1,36,415,8,4,100,1883,929,519,136,10,24,43,15,46846,48,284,90313,52,36,12,260,19,111474,391,3237,2195,19,101,439,0,0,7,131,66,655,29,7133,6891,3332,431,427,121,427,1,35,357,6,1230,18,72,7,3,256,406,276,136,23,1874,54,172,76,74,342,26,2753,2107,32,121,765,364,474,236,1290,4512,3003,36,62,1190,3,17,45,30,29,102758,649,9,92,8576,12,11579,44,5,863,31328,147,30674,502,22,6,60,0,16,10,14561,104,10894,17,2458,1738,154,1766,19513,0,32,134129,0,3425,833,221,23,48,247,1028,17996,14,975,13,16,27870,240,33744,33947,17034,15,111,20739,40,13,7,41,3,345683,196,4653,24,6,67458,67052,27,11,11,4,116,4,53,7324,11971,3511,67,16,13055,18,5255,20,5599,14,33,51,145,869,370,13,56610,1878,2209,118,8,909,19899,52,2040,1825,1767,1986,5,16,41,normal
55323,295590,369,42,472,330,9980,441,46,13219,983,2,21,16179,4,27,419,42,30,4,1285,129,21,26734,19,121,2554,8,2687,439,9,49102,221,10206,139,20,7,223,11,74,540,542,234364,7,6,3,239,6,203,55,39,28,0,1884,7,79,1,19,9,14679,14467,64,12,3495,40680,1507,87,2284,2352,3,7,12,8296,71,7,27366,97,958,2255,45,13,125,30,2,12,0,491,97,9,31,0,183,100,228,11,9825,70,57,63,620,24,1,64856,104,12,6,14,0,46,22,18,40,0,222,12,12,5,280,748,27,33,5,2,2675,134,1,48,2,14,255,18,3,52,880,506,169,37,12,2,12,12,15212,15,144,44857,15,8,6,68,1,41561,120,1372,317,7,28,101,0,0,5,28,17,208,6,2758,2783,1657,152,490,128,487,8,13,476,3,373,6,18,2,4,124,112,120,36,20,1027,28,79,12,51,312,13,937,489,10,115,162,267,60,153,581,3218,759,17,31,598,4,12,5,69,14,74331,252,3,40,8243,10,4132,6,2,567,12849,87,12632,274,6,5,37,0,5,17,1455,62,3082,10,511,213,59,239,5547,1,10,77168,0,1789,453,60,2,47,133,651,17582,1,617,1,23,7326,30,10376,10390,8421,4,58,2840,45,4,8,14,5,191471,29,2027,4,2,38587,37940,10,8,10,0,35,2,33,3511,7910,1828,57,6,8481,6,2696,2,1867,7,12,43,87,215,147,4,50166,208,2536,55,2,230,11439,13,1197,975,586,1109,3,12,13,normal
201601,624990,420,110,900,138,15634,998,91,11740,1472,7,11,39653,16,26,731,88,49,30,963,169,25,22503,36,206,3496,24,3619,627,5,36173,466,9772,143,19,6,268,28,29,498,501,175073,4,15,8,365,0,376,203,162,34,4,2290,10,245,5,13,6,20720,20925,21,60,8250,50507,2525,110,1339,2806,5,20,29,7021,66,10,22935,188,1469,5698,44,27,200,51,1,4,0,1552,168,18,43,0,114,193,250,13,15521,87,48,12,897,47,2,121360,156,14,10,17,5,63,8,18,70,0,470,18,9,7,592,1012,16,64,10,17,2054,134,5,129,8,13,214,14,1,65,1687,761,358,74,4,6,20,8,21716,13,380,69078,22,15,13,136,3,96453,316,1137,821,13,41,193,0,0,1,83,58,400,7,3235,3087,3449,382,1456,161,1433,6,22,1437,9,501,1,43,2,0,183,175,253,42,62,1423,52,104,60,111,481,21,1696,1124,24,85,675,524,102,198,669,3366,2819,24,51,658,4,9,50,67,12,110580,203,20,40,31613,8,9329,6,0,501,7962,141,7721,414,17,9,113,0,8,18,3020,65,8058,12,395,878,116,891,15003,2,20,36331,0,2421,767,102,17,200,102,1179,20123,0,525,6,24,21486,54,27545,27885,10600,7,54,12171,24,6,6,15,1,320641,75,1909,6,0,36516,36555,12,9,14,2,73,3,44,5575,10820,2559,142,10,11891,4,3002,5,1900,2,19,115,79,360,239,1,86989,305,1521,71,2,331,25720,55,853,1658,489,852,3,14,41,normal
235173,1192247,1378,51,1168,741,15482,721,56,13678,1463,17,19,39118,45,78,2385,153,64,11,1373,261,45,100433,50,221,5737,13,6228,908,23,157289,376,33894,485,39,6,1266,27,98,1765,1768,500791,17,20,4,451,13,636,346,324,125,7,5776,39,375,18,77,12,37312,37363,498,18,17719,96356,9080,427,7255,9341,13,38,11,14983,84,16,17231,351,3333,6944,41,39,267,153,8,12,6,1348,175,60,96,2,268,240,486,13,28528,230,163,92,2910,84,8,306946,103,61,11,30,2,89,20,57,407,2,1021,17,16,10,956,1389,24,63,26,51,6304,263,13,121,12,62,692,74,4,184,1733,1874,314,140,10,11,39,24,30155,68,331,107379,38,39,31,139,12,80334,161,2876,809,27,120,81,4,9,4,96,47,406,35,4893,4910,3812,279,326,454,287,43,17,318,13,946,33,129,3,13,163,76,305,76,49,2187,109,312,70,187,745,25,7201,1407,58,345,888,749,137,820,1186,4353,1985,65,115,4056,12,26,40,195,64,173732,542,33,48,16930,16,10037,11,5,1174,34588,250,33576,974,12,14,148,6,6,13,2704,164,14706,26,623,610,230,659,26554,3,26,194188,27,2060,1634,248,17,69,124,1583,25426,3,1108,1,29,37547,40,18279,18315,26500,33,123,11581,17,1,13,17,4,375700,92,4098,14,6,97010,97509,16,17,23,2,117,0,96,2403,14722,2470,137,13,15535,17,6598,14,2553,26,34,133,187,392,666,10,182460,402,4408,127,6,392,38528,92,2173,3601,908,2224,0,26,32,normal
35298,391130,2503,1,37,183,688,34,26,40246,47,13,5,4599,5,65,2465,79,60,9,2043,184,28,38548,23,63,5097,4,5194,629,8,24415,361,9887,917,109,19,3112,15,37,5478,5477,171384,41,8,2,158,6,213,67,58,46,9,3190,5,177,51,34,7,22293,22210,77,11,1624,98878,1366,257,3955,3586,19,22,12,25038,437,7,672,277,5851,6279,18,6,143,42,45,10,10,1594,199,24,87,5,526,121,618,30,10208,240,107,89,849,121,1,413784,514,27,26,37,2,1,40,20,58,0,336,19,1,17,816,1183,39,121,25,1,4454,374,4,373,2,63,1241,71,0,64,1149,1078,189,60,6,0,17,41,7959,24,191,27229,30,33,11,193,21,30773,526,1336,1297,17,87,121,1,0,2,113,48,224,18,2002,1904,1988,291,101,240,110,5,35,113,28,1571,1,67,17,6,138,113,117,162,5,1343,72,276,0,125,1199,48,1747,386,18,1273,51,331,188,572,1798,5148,312,14,134,5310,6,23,4,1461,14,80430,462,12,60,241,60,88,20,10,2430,7629,87,7577,1029,21,6,139,0,10,2,10208,455,8630,0,708,3463,94,3325,15163,13,19,57940,0,2432,706,135,21,36,156,1703,14611,0,1305,1,10,20410,17,2921,2979,29894,0,144,4914,3,3,22,101,6,76307,30,1724,30,34,29381,29175,51,5,1,6,177,0,187,2249,7801,2647,98,5,8418,4,4679,17,1791,7,116,160,129,929,234,6,75561,71,1983,212,33,902,17550,19,2937,2911,1421,2916,17,16,12,normal
289220,716322,666,107,1232,348,15201,1031,52,8858,1959,13,13,29861,12,30,877,57,48,14,857,348,25,23302,32,181,2105,7,2286,791,7,54159,332,16619,140,37,11,369,22,31,263,265,205762,11,17,2,358,3,247,50,22,27,5,2640,28,91,4,71,86,25462,25849,16,60,7146,52826,8197,267,2034,4814,11,23,24,12708,346,19,8875,194,1119,5132,58,37,207,218,1,16,3,1756,171,52,38,1,122,184,299,4,15554,59,89,16,4300,84,5,168205,87,85,10,10,9,91,24,131,228,0,390,26,44,11,1138,1209,20,79,32,9,4281,337,17,226,12,34,135,12,3,86,1517,927,308,84,6,9,62,6,14084,61,200,75045,49,75,32,110,33,68629,427,791,328,28,203,147,0,0,8,47,39,309,48,2221,2243,3607,212,1760,322,1752,10,12,1712,10,386,12,221,2,30,250,131,493,40,23,1181,60,172,48,141,229,11,3733,1941,143,72,1594,590,55,217,1103,2891,1437,55,274,851,5,5,131,36,106,122664,185,10,74,10416,11,7313,7,3,303,4064,185,3865,821,13,13,139,0,6,20,1168,87,8391,15,515,264,153,243,15393,0,31,21454,0,3068,524,444,13,59,58,1407,28380,6,568,15,28,22155,29,22261,22269,22043,22,95,3439,24,7,7,8,7,315053,164,2545,1,5,21656,21772,25,21,27,0,156,9,34,1871,9492,1722,142,16,10284,16,5663,6,1139,9,3,112,177,581,431,24,69505,841,2616,111,7,603,24680,43,1147,1140,651,1057,25,23,29,normal
52216,402690,837,26,419,145,10857,395,55,12745,773,10,5,14122,13,45,1252,52,21,7,1194,104,13,12551,24,106,2829,4,2829,382,9,36424,255,8415,176,45,3,276,9,26,564,564,119573,8,9,0,186,1,132,243,187,42,9,2275,2,154,11,24,7,20757,20597,52,26,4497,85973,1564,161,1793,2380,7,12,7,10051,181,7,18076,149,1936,4310,36,11,219,32,17,12,2,556,101,14,21,1,307,242,232,10,13888,73,64,39,904,40,3,126025,241,24,9,9,1,35,10,28,120,0,318,15,3,14,400,843,17,14,9,10,1447,253,3,145,3,20,302,19,1,40,1487,573,273,51,12,4,13,8,8296,12,207,36348,18,50,15,94,7,46081,73,717,544,18,34,77,0,0,3,33,20,299,15,1511,1513,2384,80,1728,165,1620,2,19,1753,2,392,9,58,10,3,80,54,76,57,44,1205,51,96,38,89,108,10,1872,1823,13,225,203,377,53,95,1007,4657,498,61,73,1962,6,7,9,144,19,64651,100,21,12,3344,15,4132,4,1,773,3282,101,3352,371,8,8,64,0,4,18,323,96,6101,3,99,178,93,182,11121,1,20,20021,0,1678,499,309,17,20,71,965,17559,0,515,0,21,15526,55,6223,6125,10936,4,84,3932,20,1,7,15,7,150829,56,1271,9,22,20136,20029,29,14,18,2,50,1,66,1270,10394,1990,41,3,11552,2,2613,7,996,3,3,40,89,182,155,4,69052,99,2430,77,27,188,11042,7,632,1190,415,653,9,12,32,normal
223062,899224,833,104,1266,141,20748,981,146,20577,2784,24,30,42313,14,47,1076,175,77,51,1796,325,68,36800,56,371,5259,22,5587,1836,41,76194,591,29699,284,70,22,814,40,32,564,565,328355,11,14,14,575,10,374,427,363,55,6,4290,46,152,7,107,47,36265,35966,102,42,10409,146938,14983,1104,3489,6581,11,40,30,19587,311,42,16539,269,2567,6984,65,78,418,377,34,22,7,3436,335,129,41,1,355,406,481,29,27145,110,177,68,6620,114,1,281738,206,158,27,56,5,89,39,259,551,0,619,24,17,14,1032,1879,37,257,59,16,4561,1087,24,302,12,36,358,70,5,112,3030,1626,485,105,8,23,130,14,20896,165,334,101974,100,280,13,237,73,196943,468,2352,1151,99,409,173,1,1,1,121,83,721,64,4155,3962,5216,280,5768,294,5774,6,32,5750,17,1257,22,430,10,40,504,147,460,171,47,2407,123,235,58,189,331,15,13304,2559,212,245,3060,962,100,201,1968,5720,3240,85,465,2175,8,6,192,129,114,142959,226,44,66,27847,36,7617,25,6,1022,22394,250,22203,1456,17,18,128,2,8,25,1228,130,21886,11,416,458,258,410,40190,6,50,69563,1,2970,990,967,13,109,115,2179,26845,13,1021,19,36,58896,182,33088,33010,23316,14,162,10744,37,17,34,20,4,370709,613,3653,30,14,69906,69863,32,12,16,2,66,2,80,3815,13313,3042,123,55,14804,48,7056,20,2824,12,19,194,260,526,648,48,99998,1432,1923,98,14,488,26703,134,1491,2079,2982,1518,98,19,83,normal
68510,469079,946,11,129,246,3068,141,28,14856,265,16,8,10486,13,50,1427,39,37,13,723,112,13,9714,18,42,1884,6,1909,361,8,28559,197,7621,333,32,9,457,9,22,1352,1354,112388,12,4,5,151,7,315,76,72,30,14,2803,15,138,8,50,13,19853,19631,690,27,2846,55689,2115,352,1047,2574,15,19,12,13980,102,12,7726,138,2611,3107,16,12,104,47,13,2,2,878,87,21,69,3,199,97,266,10,10232,90,73,105,1055,84,1,192829,342,40,14,35,2,22,23,33,81,0,613,12,10,8,850,632,33,31,12,3,2422,202,13,150,4,15,370,46,8,83,811,588,184,87,4,5,20,20,11382,13,313,30289,27,43,27,130,6,35921,179,680,788,17,63,117,0,0,42,67,52,276,2,2216,2330,1554,111,119,157,157,14,31,122,19,905,5,61,5,5,148,100,205,64,16,1410,29,84,34,64,411,31,2138,342,21,349,242,359,100,470,753,1800,572,32,80,3075,14,14,14,183,19,38060,69,10,16,6941,25,2357,4,1,1072,2605,65,2594,351,11,9,91,0,9,8,617,189,6891,5,73,237,36,212,12547,0,19,11175,0,1705,589,100,28,34,42,1282,13219,3,1003,0,20,17145,38,6630,6731,10187,0,87,5962,5,1,6,9,3,113213,90,1941,47,35,11162,11375,22,10,9,8,51,1,73,1849,4878,1933,71,4,5131,6,2323,4,1875,5,6,73,108,283,188,2,68961,98,1928,128,14,304,10224,30,1428,2097,292,1351,11,9,15,normal
226925,959322,1310,46,571,968,8159,462,159,30904,1591,16,16,32407,33,60,1136,204,54,70,2109,393,76,59280,18,137,3129,21,3450,993,15,66552,323,20874,1144,71,12,3406,88,139,3423,3424,951134,17,5,2,555,8,1657,98,113,82,1,5445,21,292,4,60,13,34022,33779,852,36,6001,55263,7589,651,3312,6236,20,26,63,29888,123,37,21006,193,3705,5070,21,65,137,125,23,20,7,3323,231,33,238,22,250,105,340,11,23678,146,138,183,2187,105,7,397189,156,39,15,26,9,50,24,44,169,1,870,11,27,13,914,1401,62,173,24,10,11533,255,13,327,22,71,479,280,6,208,1167,1349,305,212,10,20,70,49,61878,75,481,130462,28,53,35,270,8,104361,554,2858,2533,19,178,156,1,0,1,104,85,362,20,7317,7541,3313,297,1148,374,1164,23,22,1102,13,2640,54,76,10,14,171,162,800,63,26,3620,79,261,37,124,1607,43,3559,868,79,541,1197,549,216,665,1304,3971,8465,94,149,4751,3,24,61,306,49,99910,824,13,78,5597,21,3494,54,1,1167,22530,192,21964,1358,54,7,189,0,11,18,13709,277,10860,4,2694,1655,204,1740,19425,7,38,111683,1,2763,1208,126,25,202,150,1277,23325,4,1765,5,60,27774,81,44886,45215,23873,30,126,34572,20,2,11,45,8,375425,131,7773,15,38,55825,55777,44,39,42,8,172,3,154,6277,10186,3256,194,27,10694,22,6237,23,6669,14,181,131,189,797,463,17,121283,811,4338,174,2,940,28606,106,4380,2705,838,4151,3,21,39,normal
